Brand;Title;Rating;Description
Sport Series;EVOWHEY PROTEIN 2.0;15145;Proteína whey con sabor de HSN. Whey protein concentrate (concentrado de proteína de suero de leche) 80%. Procedente de leche de vacas alimentadas con pasto. Disponible en más de 50 deliciosos sabores. Sin aminoácidos añadidos. Endulzada solamente con sucralosa (sin calorías adicionales). Sin azúcares añadidos. Evowhey Protein 2.0 es la proteína más exitosa de HSN - Valor biológico y PDCAAs de referencia nutricional. Con análisis de contenido proteico y aminograma por laboratorio externo. Sin alérgeno de soja.
Sport Series;EVOLATE 2.0 (WHEY ISOLATE CFM);5498;Aislado de proteína de suero de leche. De vacas alimentadas con pasto. Apta para vegetarianos. Fórmula mejorada con DigeZyme® y sin soja, ¡Más proteínas!
Sport Series;EVOCASEIN 2.0 (CASEÍNA MICELAR + DIGEZYME);1659;100% Caseína Micelar. De vacas alimentadas con pasto. Textura cremosa. Con Digezyme™. Apto para vegetarianos.
Sport Series;EVONATIVE CASEIN;95;Aislado de caseína micelar. Lacprodan® MicelPure™ de Arla. Primera caseína nativa del mundo con un 87% de micelas. Baja en azúcares. Baja en grasas. Alto contenido en proteínas. Bajo aporte de lactosa por servicio. Con lecitina de girasol – Sin soja. ¡Irresistibles sabores!
Sport Series;EVONATIVE WHEY;386;Proteína Whey Nativa. Ultrafiltración mecánica en frío. De vacas Grass-Fed. Apta para vegetarianos.
Sport Series;EVOCLEAR HYDRO;205;Proteína Clear Whey. Hidrolizado de aislado de suero de leche. Alta acuosidad, sin textura de leche. Sabores irresistibles. Bajo contenido de azúcares. +80% Proteínas. Apto para dietas vegetarianas.
Sport Series;EVOCLEAR HYDRO VEGAN;34;Proteína Clear Hydro Vegan. Hidrolizado de proteína de guisante. Alta acuosidad, textura ultra-ligera. Sabores irresistibles. Sin azúcar. +75% Proteínas. Apto para dietas veganas. ¡Sin alérgenos!
Essential Series;PROTEÍNA DE SOJA AISLADA 2.0;2155;Proteína vegetal aislada 100% a base de soja, sin azúcar, baja en grasas. Aminograma completo. Apto para veganos y vegetarianos.
Sport Series;EVOPRO (MEZCLA PROTEÍNAS PREMIUM) + DIGEZYME;312;Proteína secuencial. 49% WPI + 46% MPI. 65% Whey / 35% Caseína. Con complejo enzimático Digezyme®. Apta para vegetarianos. ¡Nuevos sabores!
Sport Series;EVOHYDRO 2.0 (HYDRO WHEY);1577;Proteína de aislado de suero de leche hidrolizado. Proteína Sin Lactosa. Excelente digestibilidad. Materia prima Lacprodan® Hydro.90 INS. Apta para vegetarianos.
Sport Series;EVODIET 2.0;250;Proteina de leche y soja. Con L-carnitina L-tartrato. Con Capsimax™ y Tolerase™. Extractos estandarizados. Apta para vegetarianos.
Sport Series;EVOPRO VEGAN (MEZCLA PROTEÍNAS PREMIUM) + LEUCINA EXTRA;162;Proteína 100% vegetal. Mezcla de proteínas premium con aminograma completo - Sin aminoácidos limitantes. Fuentes: Guisante + Arroz + Cáñamo + Calabaza. Con L-Leucina y L-Metionina Vegetal. Alto contenido de Hierro y Vitamina B12 - Nutrientes clave para población vegana. Con complejo de enzimas DigeZyme®. Endulzada con Stevia. ¡Disponible en deliciosos sabores!
Sport Series;EVOEXCEL 2.0 (WHEY PROTEIN ISOLATE + CONCENTRATE);1203;Proteína de suero de leche combinada (55% aislado + 40% concentrado). Con DigeZyme®, LactoSpore® y calostro.
Sport Series;EVOPEPT 2.0 (PEPTOPRO®);125;Proteína 100% Peptopro®. Caseína hidrolizada. Sabores deliciosos. Apta para vegetarianos. Especial deportistas.
Keto Series;KETO WHEY PROTEIN;254;Aislado de suero de leche CFM keto. Procedente de vacas Grass-Fed. Con aceite MCT de coco microencapsulado. Complejo enzimático Digezyme®. Apto para vegetarianos.
Essential Series;PROTEÍNA DE GUISANTE AISLADA 2.0;1985;100% aislado de proteína de guisante en polvo. Sin grasas añadidas. Fórmula mejorada, mayor solubilidad y mejor sabor. Apto para veganos y vegetarianos.
Raw Series;CREATINA MONOHIDRATO EN POLVO;4437;100% Creatina Monohidrato. 200 Mesh. En polvo. Sin aditivos. Máxima pureza, con informe de laboratorio. Libre de contaminantes. Apta para veganos. Buena solubilidad. Sin sabor.
Sport Series;EVOKALYN;346;Monohidrato de Creatina Kre-Alkalyn® en cápsulas. Creatina pH 12 corregido. Con Vitamina B6. Apta para veganos.
Raw Series;CREATINA EXCELL (100% Creapure®) EN POLVO;3353;100% Creatina monohidrato en polvo (Creapure®). Formato Raw. Con análisis de pureza. Apta para veganos.
Essential Series;CREATINA EXCELL 1000mg (100% Creapure®);267;Aporta 3000mg de creatina, en forma de monohidrato de creatina (Creapure®). En cápsulas vegetales.
Essential Series;CREATINA MONOHIDRATO (1000mg CREATINA);7;1 gramo de pura Creatina base de Creatina Monohidrato por cápsula. Elaborado con agente de recubrimiento vegetal – Complemento apto para dietas veganas. Máxima pureza garantizada, con ausencia de degradación y de contaminantes. Desarrollo sin aditivos estéticos.
Now Foods;CREATINA MONOHIDRATO EN POLVO - 227g;8;100% Creatina monohidrato pura en polvo. Aporta 5g de creatina por servicio.
Now Foods;KRE-ALKALYN® CREATINA 750mg;4;Monohidrato de creatina Kre-Alkalyn®. Cada servicio aporta 1,5gr de creatina. En cómodas cápsulas.
Sport Series;EVOSTERONE;266;Ecdisterona de Rhaponticum carthamoides, estandarizada al 95% por HPLC. ¡Con las máximas garantías del mercado! Con Bioperine®, Zinc y Vitamina B6. Apta para veganos.
Sport Series;EVOLUS-95 (TRIBULUS TERRESTRIS 95%);909;Extracto de Tribulus Terrestris. Cápsulas veganas. Alta concentración 20:1. Estandarizado 95% en saponinas. Apto para veganos.
Sport Series;EVOZMA;443;ZMA + B6. Zinc, Magnesio, Aspartato y Vitamina B6. Alta concentración. Apto para veganos.
Essential Series;EXTRACTO DE ASHWAGANDHA (10:1) 400mg;909;Extracto de Ashwagandha 10 veces más concentrado. Contenido estandarizado de witanólidos al 8,5%. Con Ácido Pantoténico, Vitamina B6 y Zinc. Apto para veganos y vegetarianos.
Essential Series;EXTRACTO DE ASHWAGANDHA KSM-66® (12:1) 300mg;109;Extracto de Ashwagandha (KSM-66®). 12 veces más concentrado. 5% Withanólidos. Elaborado únicamente a partir de raíz. Alto contenido de Zinc y Vitamina B6. Apto para dietas veganas.
Essential Series;EXTRACTO DE ASHWAGANDHA Shoden® (40:1) 240mg;353;Extracto de Ashwagandha Shoden®. 240mg por cápsula vegetal. Extracción 40:1. 35% glicósidos de withanólido. Con Vitamina B5, B6 y Zinc. La ashwagandha más concentrada y con más investigación científica del mundo.
Essential Series;ASHWAGANDHA EN POLVO;252;100% pura raíz de Ashwagandha en Polvo, sin aditivos. Apta para veganos.
Essential Series;BISGLICINATO DE ZINC (25mg ZINC);323;Bisglicinato de Zinc (Zinc Quelado). 25mg de Zinc elemental. Alta concentración. Con el 100% de las recomendaciones de Cobre. Apto para veganos.
Essential Series;GABA 500mg;388;500mg de GABA (Ácido Gamma-Aminobutírico) por cápsula vegetal. Apto para veganos.
Essential Series;L-LEUCINA 500mg;48;500mg de L-Leucina vegetal en tabletas. Obtenida a través de un proceso de fermentación vegetal. Con zinc. Apto para veganos.
Essential Series;EXTRACTO DE MACA ANDINA (10:1) 500mg;615;Extracto de Maca 10:1. Con Vitamina B12 y minerales. Aporta 500mg de extracto de raíz de Maca Lepidium meyenii walp. Apto para dietas veganas y vegetarianas.
Essential Series;EXTRACTO DE ORTIGA (5:1) 500mg;44;Extracto de raíz de ortiga. 5 veces más concentrado. Estandarizado al 1% en Beta-Sitosterol. Con Zinc y Vitamina B6. Apto para veganos.
Essential Series;EXTRACTO DE SAW PALMETTO (20:1) 320mg;221;Aceite de extracto de Saw Palmetto. 85% Ácidos grasos. En perlas vegetales. Apto para veganos.
Raw Series;ÁCIDO D-ASPÁRTICO EN POLVO;330;Ácido D-aspártico. 100% RAW. Máxima pureza. Apto para veganos.
Raw Series;L-LEUCINA EN POLVO;209;100% Leucina en polvo. Formato RAW. Sin añadidos. Fermentación vegetal. Disolución Instantánea. Apta para veganos.
Vitaminalia;MACA 500mg;30;Maca Andina en cápsulas vegetales. Aporta 500mg de extracto 10:1 de raíz de maca. Apto para veganos y vegetarianos.
Sport Series;EVOBARS PROTEIN BARS;2184;"Barritas altas en proteína y bajas en azúcar. Recubiertas de chocolate y rellenas de una capa de caramelo; ¡ahora con crispies de soja, un crunch en cada mordisco! 19g de proteína por barrita."
Food Series;BARRITA DE PROTEÍNAS Y CEREALES;264;Deliciosa barrita con bolitas de proteínas. Sin azúcares añadidos. Snack fuente de fibra, apto para dietas vegetarianas. ¡FoodSeries!
Sport Series;EVOGUMMY RECOVERY GUMMY BAR;342;Barritas energéticas a base de pasta de manzana. Con L-glutamina y L-carnitina L-tartrato. 30 gramos. Fácil de transportar. Apertura cómoda.
Food Series;ENERGY BAR FLAPJACK;138;"Barritas energéticas aptas para vegetarianos estilo Flapjack a base de copos de avena; con fruta natural y frutos secos. ¡El snack más sabroso para tus sesiones intensas!"
Food Series;ENERGY PALEO BAR;178;Barrita energética Paleo. A base de pasta de dátiles. Con frutos secos y fruta. Apta para veganos.
Food Series;FLAPJACK BAR;683;Barrita energética de carbohidratos. Flapjack a base de copos de avena. 120g por unidad. Apta para vegetarianos.
Diet Radisson;4 BARRITAS DE AVENA CON CHOCOLATE CON LECHE - 68g;16;Barritas de avena con chocolate con leche. Sin azúcares añadidos y sin aceite de palma. Ideal para tomar entre comidas.
Sport Series;EVOMASS 2.0 (GANADOR DE PESO);630;Mass Gainer. Con harina de arroz (¡Novedad! Ahora sin gluten) y proteínas de leche. Ideal etapas de volumen. Apto para vegetarianos.
Sport Series;EVOMASS (GANADOR DE PESO) VEGAN;55;Ganador de masa vegano. Con harina de arroz hidrolizada. Mezcla completa de proteínas vegetales (Guisante, Soja y Arroz). Enriquecido con Leucina. Con Creatina y CLA. Sin gluten. Nuevo nombre, misma fórmula: Evogainer Vegan ahora es Evomass Vegan.
